,intensity,latitude,longitude,validTimeUtc
316,-16000,22.59156,38.76986,2018-12-04T10:30:19.538+0000
317,-6000,-33.12503,-46.54658,2018-12-04T10:29:26.756+0000
318,9000,-12.41587,133.06504,2018-12-04T10:29:32.191+0000
319,-43000,20.62487,-94.37411,2018-12-04T10:29:37.930+0000
320,8000,27.59992,133.22411,2018-12-04T10:29:45.117+0000
321,12000,-15.98113,143.72074,2018-12-04T10:29:47.041+0000
322,-11000,-15.50205,143.35948,2018-12-04T10:29:34.812+0000
323,-30000,-26.11134,155.83767,2018-12-04T10:29:43.861+0000
324,11000,29.47591,-76.98466,2018-12-04T10:29:58.973+0000
325,-9000,-15.7216,144.23732,2018-12-04T10:29:59.396+0000
326,9000,-15.00467,143.6096,2018-12-04T10:30:23.970+0000
327,15000,2.73693,101.85337,2018-12-04T10:29:36.704+0000
328,25000,-15.02615,143.51902,2018-12-04T10:29:56.143+0000
329,-25000,-24.74296,122.98323,2018-12-04T10:30:12.957+0000
330,24000,22.29684,-93.15575,2018-12-04T10:30:11.810+0000
331,11000,-15.78684,144.35225,2018-12-04T10:29:43.790+0000
332,-30000,-15.65244,144.07907,2018-12-04T10:30:15.350+0000
333,8000,-24.84094,155.20476,2018-12-04T10:29:27.663+0000
334,25000,-12.13029,133.5924,2018-12-04T10:29:26.355+0000
335,6000,35.17107,31.83031,2018-12-04T10:29:28.241+0000
336,-26000,-15.70243,144.35182,2018-12-04T10:30:08.698+0000
337,12000,-15.81647,143.91835,2018-12-04T10:30:26.750+0000
338,-6000,-26.92389,156.39101,2018-12-04T10:30:15.829+0000
339,-4000,-16.28545,26.35616,2018-12-04T10:30:25.209+0000
340,-16000,-28.78938,126.65409,2018-12-04T10:29:48.078+0000
341,-30000,-15.50406,143.90961,2018-12-04T10:29:53.104+0000
342,7000,-15.73556,144.28418,2018-12-04T10:29:35.468+0000
343,-31000,-15.61056,144.31314,2018-12-04T10:29:38.562+0000
344,9000,-15.6901,144.14039,2018-12-04T10:29:33.452+0000
345,39000,-5.98989,177.66625,2018-12-04T10:30:20.861+0000
346,-25000,-42.17489,-177.09212,2018-12-04T10:30:15.171+0000
347,-17000,-15.71023,144.56185,2018-12-04T10:30:24.790+0000
348,21000,-15.60485,144.25692,2018-12-04T10:30:15.793+0000
349,5000,19.97607,-94.20446,2018-12-04T10:29:39.198+0000
350,-31000,-25.38896,155.7626,2018-12-04T10:29:44.886+0000
351,12000,-15.66036,143.9875,2018-12-04T10:29:55.821+0000
352,2000,-16.52648,26.6909,2018-12-04T10:30:15.799+0000
353,17000,-15.80439,144.0143,2018-12-04T10:29:37.698+0000
354,-18000,-15.72029,143.97827,2018-12-04T10:30:19.935+0000
355,-83000,35.20277,31.70012,2018-12-04T10:29:28.763+0000
356,-10000,-15.33422,125.92793,2018-12-04T10:30:07.609+0000
357,-11000,-15.58889,144.02011,2018-12-04T10:29:26.217+0000
358,-24000,-26.87511,156.26269,2018-12-04T10:30:25.201+0000
359,5000,-15.92216,26.27129,2018-12-04T10:29:42.527+0000
360,-15000,-15.42542,143.46614,2018-12-04T10:29:34.714+0000
361,-18000,23.0024,38.75198,2018-12-04T10:29:31.680+0000
362,16000,-14.73259,132.87891,2018-12-04T10:30:21.868+0000
363,7000,-29.603,128.56742,2018-12-04T10:29:31.267+0000
364,8000,-8.20702,33.17287,2018-12-04T10:29:52.230+0000
365,-1000,-34.0651,34.78678,2018-12-04T10:30:22.896+0000
366,-8000,35.62392,31.81445,2018-12-04T10:30:22.261+0000
367,11000,-15.39802,143.29881,2018-12-04T10:29:33.872+0000
368,3000,-3.46273,34.54989,2018-12-04T10:29:49.254+0000
369,-41000,-15.59262,143.98546,2018-12-04T10:29:51.735+0000
